stretch_exponent,coefficient_of_variation,adaptive_model_seconds,nonadaptive_model_seconds,uncalibrated_reduction_percent,predicted_reduction_percent,regime
0.19166666666666665,0.3700346996744444,143.17059850346067,145.77939268726885,1.789549356543599,1.8678723579666294,interpolation
0.2,0.3857310395590095,143.54566528200374,146.30701885239537,1.887369172067868,1.969973442136825,interpolation
0.20833333333333334,0.40134123293844237,143.92251244424244,146.83955934864747,1.9865538396767841,2.073499113716305,interpolation
0.21666666666666667,0.41685978348614466,144.3010206214513,147.376861873356,2.087058451921605,2.178402499797169,interpolation
0.225,0.4322813906028986,144.6810710402215,147.91877238248594,2.1888373531741117,2.284635946546555,interpolation
0.23333333333333334,0.44760095650123893,145.0625457417962,148.46513540915674,2.291844248808513,2.392151133167095,interpolation
0.24166666666666667,0.4628135925560198,145.44532779465402,149.01579437966217,2.396032313132741,2.5008991845520265,interpolation
0.25,0.47791462491229914,145.82930149963826,149.57059192577202,2.5013542956294934,2.610830782176077,interpolation
0.2583333333333333,0.4928995993459106,146.21435258698895,150.12937019215136,2.6077626250956447,2.7218962727927294,interpolation
0.26666666666666666,0.5077642853762119,146.60036840469195,150.69197113778904,2.7152095112989327,2.8340457745401086,interpolation
0.275,0.5225046796345146,146.98723809762853,151.25823683039573,2.8236470438011403,2.9472292800893434,interpolation
0.2833333333333333,0.5371170084955432,147.37485277706847,151.82800973279865,2.933027287631095,3.0613967565048754,interpolation
0.2916666666666667,0.5515977299829184,147.76310568012025,152.40113298043653,3.0433023755221407,3.17649824151888,interpolation
0.3,0.5659435349631258,148.151892318813,152.97745064913306,3.1544245964641524,3.292483935958925,interpolation
0.30833333333333335,0.5801513476456365,148.54111061855303,153.55680801240717,3.266346480352,3.4093042921012326,interpolation
0.31666666666666665,0.5942183254098177,148.9306610457631,154.139051787663,3.379020878547259,3.52691009775833,interpolation
0.325,0.6081418579819997,149.3204467245725,154.72403037067954,3.4924010402013415,3.6452525559425997,interpolation
0.3333333333333333,0.621919565988483,149.7103735424901,155.31159405790717,3.6064406842213566,3.7642833599818686,interpolation
0.3416666666666667,0.6355492989124614,150.10035024505095,155.90159525615826,3.7210940667896453,3.883954763994056,interpolation
0.35,0.6490291324846896,150.4902885194822,156.49388867936088,3.836316044378843,4.004219648660214,interpolation
0.35833333333333334,0.6623573655393538,150.8801030674889,157.08833153212387,3.952062132231263,4.125031582263368,interpolation
0.36666666666666664,0.6755325163679058,151.26971166731076,157.6847836799401,4.068288558298877,4.246344876989285,interpolation
0.375,0.6885533186046756,151.65903522524468,158.28310780592597,4.184952312664464,4.36811464051063,interpolation
0.3833333333333333,0.7014187166788447,152.04799781687623,158.88316955407183,4.302011192487835,4.490296822900348,interpolation
0.39166666666666666,0.714127860867896,152.43652671829722,159.48483765904103,4.419423842542474,4.612848258942467,interpolation
0.4,0.7266801019879084,152.82455242762572,160.08798406262156,4.537149791426323,4.735726705927719,interpolation
0.4083333333333333,0.739074985756106,153.21200867717454,160.69248401699446,4.655149483549462,4.858890877041215,interpolation
0.4166666666666667,0.7513122468608827,153.59883243664316,161.2982161750373,4.773384307014867,4.982300470463465,interpolation
0.425,0.7633918027741275,153.9849639077306,161.90506266793338,4.891816617524111,5.10591619432235,interpolation
0.43333333333333335,0.7753137473400962,154.37034651058826,162.5129091704027,5.010409758449756,5.229699787644022,interpolation
0.44166666666666665,0.7870783441742956,154.75492686254594,163.12164495391258,5.129128077227592,5.3536140374625845,interpolation
0.45,0.7986860199049738,155.13865474955995,163.73116292826415,5.247936938228955,5.477622792255785,interpolation
0.4583333333333333,0.8101373572887057,155.52148309083833,164.34135967198168,5.366802732280811,5.601690971881769,interpolation
0.4666666666666667,0.8214330882304276,155.90336789710597,164.95213545195998,5.485692883005651,5.72578457419645,interpolation
0.475,0.8325740867369722,156.28426822297524,165.5633942328497,5.604575850156963,5.849870678534965,interpolation
0.48333333333333334,0.8435613618317934,156.66414611388637,166.17504367667755,5.723421130128467,5.973917446243195,interpolation
0.49166666666666664,0.8543960504571364,157.0429665480828,166.78699513321703,5.842199253815578,6.0978941184456374,interpolation
0.5,0.865079410388399,157.42069737407365,167.3991636216291,5.960881782007996,6.221771011236334,interpolation
0.5083333333333333,0.8756128131839016,157.79730924403978,168.01146780391034,6.079441298490238,6.345519508477446,interpolation
0.5166666666666666,0.8859977371917187,158.17277554361772,168.62382995067884,6.197851401025569,6.469112052388571,interpolation
0.525,0.8962357606336363,158.54707231849483,169.23617589983644,6.316086690394156,6.592522132105134,interpolation
0.5333333333333333,0.9063285547847258,158.920178198229,169.8484350086397,6.434122757654392,6.7157242703821804,interpolation
0.5416666666666666,0.9162778772654466,159.29207431769711,170.46054009970885,6.5519361697897205,6.838694008613007,interpolation
0.55,0.9260855654616368,159.66274423655602,171.07242740149331,6.669504453899913,6.961407890328538,interpolation
0.5583333333333333,0.9357535300862193,160.03217385708894,171.68403648370673,6.786806080088635,7.083843443335935,interpolation
0.5666666666666667,0.9452837488949684,160.40035134078673,172.29531018822723,6.9038204431946735,7.2059791606502595,interpolation
0.575,0.954678260567223,160.76726702400134,172.90619455594964,7.0205278435066925,7.327794480365167,interpolation
0.5833333333333334,0.9639391587610413,161.13291333298676,173.51663875005772,7.136909466595372,7.44926976460237,interpolation
0.5916666666666667,0.9730685863509386,161.4972846986252,174.12659497616937,7.2529473623903264,7.5703862776728075,interpolation
0.6,0.982068729855071,161.86037747111789,174.73601839978926,7.368624423621926,7.691126163574945,interpolation
